member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
lumber_leg_left,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
lumber_leg_right,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_principal_center,2532.626011836657,139.7,63.5,"Single nominal 3x6 center principal; square lower bearing cut; front service pockets; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_post_center,186.9,139.7,63.5,"Single nominal 3x6 center post; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_rail_bottom_left,1149.3500000000001,139.7,38.1,"Single square-cut 2x6 bottom rail; no light relief cuts; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_rail_bottom_right,1149.3500000000001,139.7,38.1,"Single square-cut 2x6 bottom rail; no light relief cuts; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_rail_mid_lower_left,1149.3500000000001,139.7,38.1,"Independent square-cut nominal 2x6 seam rail; grain X; front service pockets; two end clips; no assumed load sharing with adjacent rail; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_rail_mid_upper_left,1149.3500000000001,139.7,38.1,"Independent square-cut nominal 2x6 seam rail; grain X; front service pockets; two end clips; no assumed load sharing with adjacent rail; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_rail_mid_lower_right,1149.3500000000001,139.7,38.1,"Independent square-cut nominal 2x6 seam rail; grain X; front service pockets; two end clips; no assumed load sharing with adjacent rail; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
base_rail_mid_upper_right,1149.3500000000001,139.7,38.1,"Independent square-cut nominal 2x6 seam rail; grain X; front service pockets; two end clips; no assumed load sharing with adjacent rail; Separate paired horizontal 2x6 seam rails with independent end clips; single 3x6 center principal/post and single 2x10 header; no composite action; service pockets, header bending, connection strength and stability unqualified; NOT build-ready"
