member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
base_post_outer_right,186.9,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
timber_base_gusset_left,460.0,285.75,19.05,"Removable 3/4 in plywood side gusset; face grain vertical; four through-bolts; plywood thickness assumed, not purchased-face measurement; Development geometry; connections and structural resistance unqualified; NOT build-ready"
timber_base_gusset_right,460.0,285.75,19.05,"Removable 3/4 in plywood side gusset; face grain vertical; four through-bolts; plywood thickness assumed, not purchased-face measurement; Development geometry; connections and structural resistance unqualified; NOT build-ready"
base_post_center_left_front,186.9,139.7,38.1,"Square-cut single 2x6 vertical-grain post; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_post_center_left_rear,186.9,139.7,38.1,"Square-cut single 2x6 vertical-grain post; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_post_center_right_front,186.9,139.7,38.1,"Square-cut single 2x6 vertical-grain post; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_post_center_right_rear,186.9,139.7,38.1,"Square-cut single 2x6 vertical-grain post; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
lumber_leg_left,1807.9717682704706,139.7,38.1,"Nominal 2x6; grain along length; square top150mm past bolt centroid; level foot; Spread-group experiment; geometry only, NOT build-ready or strength-qualified"
lumber_leg_right,1807.9717682704706,139.7,38.1,"Nominal 2x6; grain along length; square top150mm past bolt centroid; level foot; Spread-group experiment; geometry only, NOT build-ready or strength-qualified"
base_rail_bottom_left,1104.9,139.7,38.1,"Square-cut single 2x6 rail; no hold/LED relief cuts; grain X; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_rail_bottom_right,1143.0000000000002,139.7,38.1,"Square-cut single 2x6 rail; no hold/LED relief cuts; grain X; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
