member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
lumber_leg_left,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
lumber_leg_right,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_center,2532.626011836657,139.7,63.5,"Single nominal 3x6 center principal; square lower bearing cut; front service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_center,186.9,139.7,63.5,"Single nominal 3x6 center post; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_left_1,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_left_1,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_left_2,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_left_2,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_right_1,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_right_1,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_right_2,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_right_2,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_bottom_left_1,392.0500000000002,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_bottom_left_2,361.90000000000003,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_bottom_left_3,319.2,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_bottom_right_1,379.2,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_bottom_right_2,361.90000000000003,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_bottom_right_3,332.0500000000002,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
