member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
lumber_leg_right,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_principal_center_left,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 center principal; no service pockets or housing; level bearing cut; grain along slope; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter"
base_post_center_left,186.9,234.95,38.1,"Independent single nominal 2x10 center post; vertical grain; full-depth header support; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_principal_center_right,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 center principal; no service pockets or housing; level bearing cut; grain along slope; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter"
base_post_center_right,186.9,234.95,38.1,"Independent single nominal 2x10 center post; vertical grain; full-depth header support; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_rail_bottom_left,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_service_lower_left,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_service_upper_left,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_bottom_right,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_service_lower_right,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_service_upper_right,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
